Editor_ID,Name,Street,Num,City,PS,Phone_Number
1,Apogeo,Via Andregari,6,Milan,2021,02-3596681
2,Pearson Italia,Corso Trapani,16,Turin,10139,011-75021510
3,Tecniche Nuove,Via Eritrea,21,Milan,20157,02-390901
4,Packt Publishing,Tennesse Circle,4,Boston,89654,903-259-1261
5,Addison-Wesley,Coolidge Junction,12,Oboken,7030,638-435-4004
6,Pst Edizioni,Via Degli Editori Riuniti,8,Milan,20157,02-546722
7,Dunning Editions,Dunning Drive,988,Lawrance,23445,16-339-1269
8,Europa Edizioni,Via Degli Editori Riuniti,34,Milan,20157,02-835610
9,Plaza Publicacionès,Strada Grande,944,Madrid,2264,03-567234
10,Meaning,Lakewood Gardens Place,28063,New York,8734,309-306-5066
